season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2023,PHI,OL,T,74,CUT,Bernard Williams,Bernard,Williams,,80,286,,00-0017724,,,,,,,,,29,,,11,REG,W03,Bernard,WIL148626,17623,32005749-4c14-8626-f883-08eba7248da6,1994,1994,PHI,14
2023,SEA,OL,T,70,DEV,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",,6,REG,P07,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,DEV,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",,4,REG,P07,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,INA,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",,17,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,11,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,10,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",T,13,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,9,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,12,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
2023,SEA,OL,T,70,ACT,Jason Peters,Jason,Peters,1982-01-22,76,328,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,19,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",T,14,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004,,
